term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Algorithmic,class,https://w3id.org/dpv/tech#Algorithmic,Algorithmic,Technology provided as an algorithm or method,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,,tech,https://w3id.org/dpv/tech
CaaS,class,https://w3id.org/dpv/tech#CaaS,Compute as a Service,Technology provided as a cloud service consisting of managed compute resources,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
CloudService,class,https://w3id.org/dpv/tech#CloudService,Cloud Service,Technology provided as a cloud service,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#Service,,2024-05-09,,tech,https://w3id.org/dpv/tech
Component,class,https://w3id.org/dpv/tech#Component,Component,Technology provided as a component,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,,tech,https://w3id.org/dpv/tech
FixedUse,class,https://w3id.org/dpv/tech#FixedUse,Fixed Use,Technology that can be used a fixed number of times,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,,tech,https://w3id.org/dpv/tech
Goods,class,https://w3id.org/dpv/tech#Goods,Goods,Technology provided or used as goods,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,,tech,https://w3id.org/dpv/tech
HybridCloudService,class,https://w3id.org/dpv/tech#HybridCloudService,Hybrid Cloud Service,Technology provided as a cloud service that is both private and public in parts,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#PublicCloudService;https://w3id.org/dpv/tech#PrivateCloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
IaaS,class,https://w3id.org/dpv/tech#IaaS,Infrastructure as a Service,Technology provided as a cloud service consisting of managed infrastructure resources,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
MBaaS,class,https://w3id.org/dpv/tech#MBaaS,Mobile backend as a Service,Technology provided as a cloud service consisting of managed 'backend' services for mobile users,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
PaaS,class,https://w3id.org/dpv/tech#PaaS,Platform as a Service,Technology provided as a cloud service consisting of managed platform resources,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
PrivateCloudService,class,https://w3id.org/dpv/tech#PrivateCloudService,Private Cloud Service,Technology provided as a cloud service that is private,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
Product,class,https://w3id.org/dpv/tech#Product,Product,Technology that is provided as a product,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,,tech,https://w3id.org/dpv/tech
PublicCloudService,class,https://w3id.org/dpv/tech#PublicCloudService,Public Cloud Service,Technology provided as a cloud service that is public,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
SaaS,class,https://w3id.org/dpv/tech#SaaS,Software as a Service,Technology provided as a cloud service consisting of managed software resources,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
ServerlessComputing,class,https://w3id.org/dpv/tech#ServerlessComputing,Serverless Computing,Technology provided as a cloud service consisting of fully managed servers for executing functions,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#CloudService,,2024-05-09,,tech,https://w3id.org/dpv/tech
Service,class,https://w3id.org/dpv/tech#Service,Service,Technology provided or used as service(s),https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,Removed plural suffix for consistency in terms,2022-06-15,,tech,https://w3id.org/dpv/tech
Subscription,class,https://w3id.org/dpv/tech#Subscription,Subscription,Technology that is provided or used as a periodic subscription,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,,tech,https://w3id.org/dpv/tech
System,class,https://w3id.org/dpv/tech#System,System,Technology provided as a system,https://w3id.org/dpv/tech#ProvisionMethod,,https://w3id.org/dpv/tech#ProvisionMethod,,2022-06-15,,tech,https://w3id.org/dpv/tech
