term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
AILiteracy,class,https://w3id.org/dpv#AILiteracy,AI Literacy,"Providing skills, knowledge, and understanding to enable reading, writing, analysing, reasoning, and communicating regarding AI",https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#DigitalLiteracy,,2024-05-17,,dpv,https://w3id.org/dpv
AINotice,class,https://w3id.org/dpv#AINotice,AI Notice,A notice providing information regarding the particulars of an AI system such as its intended purpose and proper use,https://w3id.org/dpv#OrganisationalMeasure,,https://w3id.org/dpv#Notice,,2024-12-01,,dpv,https://w3id.org/dpv
AcademicResearch,class,https://w3id.org/dpv#AcademicResearch,Academic Research,Purposes associated with conducting or assisting with research conducted in an academic context e.g. within universities,https://w3id.org/dpv#Purpose,,https://w3id.org/dpv#ResearchAndDevelopment,,2019-04-05,,dpv,https://w3id.org/dpv
AcademicScientificOrganisation,class,https://w3id.org/dpv#AcademicScientificOrganisation,Academic or Scientific Organisation,"Organisations related to academia or scientific pursuits e.g. Universities, Schools, Research Bodies",,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2022-02-02,2020-10-05,dpv,https://w3id.org/dpv
AcceptContract,class,https://w3id.org/dpv#AcceptContract,Accept Contract,Control for accepting a contract,,https://w3id.org/dpv#ContractControl,https://w3id.org/dpv#ContractControl,,2024-08-27,,dpv,https://w3id.org/dpv
Access,class,https://w3id.org/dpv#Access,Access,to access data,https://w3id.org/dpv#Processing,,https://w3id.org/dpv#Use,,2022-06-15,,dpv,https://w3id.org/dpv
AccessControlMethod,class,https://w3id.org/dpv#AccessControlMethod,Access Control Method,Methods which restrict access to a place or resource,https://w3id.org/dpv#TechnicalMeasure,,https://w3id.org/dpv#TechnicalMeasure,,2019-04-05,,dpv,https://w3id.org/dpv
AccountManagement,class,https://w3id.org/dpv#AccountManagement,Account Management,"Account Management refers to purposes associated with account management, such as to create, provide, maintain, and manage accounts",https://w3id.org/dpv#Purpose,,https://w3id.org/dpv#Purpose,,2021-09-08,,dpv,https://w3id.org/dpv
Acquire,class,https://w3id.org/dpv#Acquire,Acquire,to come into possession or control of the data,https://w3id.org/dpv#Processing,,https://w3id.org/dpv#Obtain,,2019-05-07,,dpv,https://w3id.org/dpv
ActiveRight,class,https://w3id.org/dpv#ActiveRight,Active Right,"The right(s) applicable, provided, or expected that need to be (actively) exercised",https://w3id.org/dpv#Right,,https://w3id.org/dpv#Right,"Active rights require the entity to expressly exercise them. For example, a Data Subject exercising their right to withdraw their consent.",2022-10-22,,dpv,https://w3id.org/dpv
ActivelyInvolved,class,https://w3id.org/dpv#ActivelyInvolved,Actively Involved,Status indicating the specified context is 'actively' involved,https://w3id.org/dpv#InvolvementStatus,,https://w3id.org/dpv#InvolvementStatus,An example of active involvement is a person directly using a system to enter information,2024-05-10,,dpv,https://w3id.org/dpv
ActivityCompleted,class,https://w3id.org/dpv#ActivityCompleted,Activity Completed,State of an activity that has completed i.e. is fully in the past,https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,,2022-05-18,,dpv,https://w3id.org/dpv
ActivityHalted,class,https://w3id.org/dpv#ActivityHalted,Activity Halted,"State of an activity that was occuring in the past, and has been halted or paused or stopped",https://w3id.org/dpv#ActivityStatus,,https://w3id.org/dpv#ActivityStatus,,2022-05-18,,dpv,https://w3id.org/dpv
ActivityMonitoring,class,https://w3id.org/dpv#ActivityMonitoring,Activity Monitoring,Monitoring of activities including assessing whether they have been successfully initiated and completed,https://w3id.org/dpv#TechnicalMeasure,,https://w3id.org/dpv#TechnicalMeasure,,2022-08-17,,dpv,https://w3id.org/dpv
