term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
Entity,class,https://w3id.org/dpv#Entity,Entity,A human or non-human 'thing' that constitutes as an entity,,,,,2022-02-02,,dpv,https://w3id.org/dpv
LegalEntity,class,https://w3id.org/dpv#LegalEntity,Legal Entity,A human or non-human 'thing' that constitutes as an entity and which is recognised and defined in law,,https://w3id.org/dpv#Entity,https://w3id.org/dpv#Entity,,2019-04-05,,dpv,https://w3id.org/dpv
NaturalPerson,class,https://w3id.org/dpv#NaturalPerson,Natural Person,A human,,https://w3id.org/dpv#Entity,https://w3id.org/dpv#Entity,,2022-02-09,,dpv,https://w3id.org/dpv
ParentLegalEntity,class,https://w3id.org/dpv#ParentLegalEntity,Parent Legal Entity,A legal entity that has one or more subsidiary entities operating under it,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-04-14,,dpv,https://w3id.org/dpv
PublicRegisterOfEntities,class,https://w3id.org/dpv#PublicRegisterOfEntities,Public Register of Entities,A publicly available list of entities e.g. to indicate which entities perform a certain activity within a certain location or jurisdiction,,,,,2024-06-11,,dpv,https://w3id.org/dpv
Representative,class,https://w3id.org/dpv#Representative,Representative,A representative of a legal entity,,https://w3id.org/dpv#LegalEntity,https://w3id.org/dpv#LegalEntity,,2020-11-04,,dpv,https://w3id.org/dpv
SubsidiaryLegalEntity,class,https://w3id.org/dpv#SubsidiaryLegalEntity,Subsidiary Legal Entity,A legal entity that operates as a subsidiary of another legal entity,,https://w3id.org/dpv#Organisation,https://w3id.org/dpv#Organisation,,2024-04-14,,dpv,https://w3id.org/dpv
hasAddress,property,https://w3id.org/dpv#hasAddress,has address,Specifies address of a legal entity such as street address or pin code,,,,,2020-11-04,,dpv,https://w3id.org/dpv
hasContact,property,https://w3id.org/dpv#hasContact,has contact,Specifies contact details of a legal entity such as phone  or email,,,,,2020-11-04,,dpv,https://w3id.org/dpv
hasEntity,property,https://w3id.org/dpv#hasEntity,has entity,Indicates inclusion or applicability of an entity to some concept,,,,"parent property for controller, processor, data subject, authority, etc.?",2022-02-09,,dpv,https://w3id.org/dpv
hasName,property,https://w3id.org/dpv#hasName,has name,Specifies name of a legal entity,,,,,2020-11-04,,dpv,https://w3id.org/dpv
hasOrganisationalUnit,property,https://w3id.org/dpv#hasOrganisationalUnit,has organisational unit,Indicates the specified entity is a unit of the organisation,,,https://w3id.org/dpv#hasEntity,,2024-06-10,,dpv,https://w3id.org/dpv
hasRepresentative,property,https://w3id.org/dpv#hasRepresentative,has representative,Specifies representative of the legal entity,,,https://w3id.org/dpv#hasEntity,,2020-11-04,,dpv,https://w3id.org/dpv
hasResponsibleEntity,property,https://w3id.org/dpv#hasResponsibleEntity,has responsible entity,Specifies the indicated entity is responsible within some context,,,https://w3id.org/dpv#hasEntity,,2022-03-02,,dpv,https://w3id.org/dpv
hasSubsidiary,property,https://w3id.org/dpv#hasSubsidiary,has subsidiary,Indicates this entity has the specified entity as its subsidiary,,,https://w3id.org/dpv#hasEntity,,2024-04-14,,dpv,https://w3id.org/dpv
isOrganistionalUnitOf,property,https://w3id.org/dpv#isOrganistionalUnitOf,is organisational unit of,Indicates this entity is an organisational unit of the specified entity,,,https://w3id.org/dpv#hasEntity,,2024-06-10,,dpv,https://w3id.org/dpv
isRepresentativeFor,property,https://w3id.org/dpv#isRepresentativeFor,is representative for,Indicates the entity is a representative for specified entity,,,https://w3id.org/dpv#hasEntity,,2022-11-09,,dpv,https://w3id.org/dpv
isSubsidiaryOf,property,https://w3id.org/dpv#isSubsidiaryOf,is subsidiary of,Indicates this entity is the subsidiary of the specified entity,,,https://w3id.org/dpv#hasEntity,,2024-04-14,,dpv,https://w3id.org/dpv
