"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","","","",""
"ProcessingContext","Processing Context","Context or conditions within which processing takes place","sc__dpv:Context","","","","","2022-02-09","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","","","",""
"DataSource","Data Source","The source or origin of data","sc__dpv:ProcessingContext","","","Source' is the direct point of data collection; 'origin' would indicate the original/others points of where the data originates from.","","2020-11-04","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"PublicDataSource","Public Data Source","A source of data that is publicly accessible or available","dpv:DataSource","","","The term 'Public' is used here in a broad sense. Actual consideration of what is 'Public Data' can vary based on several contextual or jurisdictional factors such as  definition of open, methods of access, permissions and licenses.","","2022-01-26","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake","","","","","","","","","","","","","","","",""
"NonPublicDataSource","Non-Public Data Source","A source of data that is not publicly accessible or available","dpv:DataSource","","","","","2022-01-26","","accepted","Georg P Krog, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake","","","","","","","","","","","","","","","",""
"SystematicMonitoring","Systematic Monitoring","Processing that involves systematic monitoring of individuals","dpv:ProcessingContext","","","","(GDPR Art.4-2,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj)","2020-11-04","","accepted","Harshvardhan J. Pandit, Piero Bonatti","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"EvaluationScoring","Evaluation and Scoring","Processing that involves evaluation and scoring of individuals","dpv:ProcessingContext","","","","(GDPR Art.4-2,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj)","2020-11-04","","accepted","Harshvardhan J. Pandit, Piero Bonatti","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"MatchingCombining","Matching and Combining","Processing that involves matching and combining of personal data","dpv:ProcessingContext","","","","(GDPR Art.4-2,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj)","2020-11-04","","deprecated","Harshvardhan J. Pandit, Piero Bonatti","https://www.w3.org/2022/04/20-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"LargeScaleProcessing","Large Scale Processing","Processing that takes place at large scales","dpv:ProcessingContext","","","","(GDPR Art.4-2,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj)","2020-11-04","","accepted","Harshvardhan J. Pandit, Piero Bonatti","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"InnovativeUseOfNewTechnologies","Innovative Use of New Technologies","Processing that involves use of innovative and new technologies","dpv:ProcessingContext","","","","(GDPR Art.4-2,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_2/oj)","2020-11-04","","accepted","Harshvardhan J. Pandit, Piero Bonatti","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","","","",""
"StorageDeletion","Storage Deletion","Deletion or Erasure of data including any deletion guarantees","dpv:StorageCondition","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
"StorageDuration","Storage Duration","Duration or temporal limitation on storage of personal data","dpv:StorageCondition,dpv:Duration","","","","","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","","","",""
