"preffix","namespace","comments","date","status-type","Comments","contributor","resolution"
"dpv","https://w3id.org/dpv#","DPV Specification","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpv-nace","https://w3id.org/dpv/dpv-nace#","NACE vocabulary in RDFS","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpv-gdpr","https://w3id.org/dpv/dpv-gdpr#","GDPR Extension for DPV","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpv-pd","https://w3id.org/dpv/dpv-pd#","Personal Data Categories Extension for DPV","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpvs","https://w3id.org/dpv/dpv-skos#","DPV Specification expressed in SKOS","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpvs-gdpr","https://w3id.org/dpv/dpv-skos/dpv-gdpr#","GDPR Extension for DPV expressed using DPV-SKOS","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpvs-pd","https://w3id.org/dpv/dpv-skos/dpv-pd#","Personal Data Categories Extension for DPV expressed using DPV-SKOS","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpvo","https://w3id.org/dpv/dpv-owl#","DPV Specification expressed in OWL","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpvo-gdpr","https://w3id.org/dpv/dpv-owl/dpv-gdpr#","GDPR Extension for DPV  expressed using DPV-OWL","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
"dpvo-pd","https://w3id.org/dpv/dpv-owl/dpv-pd#","Personal Data Categories Extension for DPV expressed using DPV-OWL","2022-02-09","approved","","","https://www.w3.org/2022/02/09-dpvcg-minutes.html"
