"Term Actors involved in technologies TechnologyActor","Label Actors involved in technologies ","Description ","ParentTerm ","ParentType ","Value ","RelatedTerms ","Relation ","Comment ","Source ","Created ","Modified ","Status ","Contributors ","Resolution ","","","","","","","","","","","","","","","",""
"TechnologyProvider","Technology Provider","Actor that provides Technology","dpv-tech:TechnologyActor","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"TechnologyDeveloper","Technology Developer","Actor that develops Technology","dpv-tech:TechnologyActor","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"TechnologyUser","Technology User","Actor that uses Technologoy","dpv-tech:TechnologyActor","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"TechnologySubject","Technology Subject","Actor that is subject of use of Technology","dpv-tech:TechnologyActor","sc","","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","","","","",""
"TechnologyDesigner","Technology Designer","Actor that designs Technology","tech:TechnologyActor","","","","","","DGA 26.3","","","proposed","","","","","","","","","","","","","","","","","",""
"TechnologyInstaller","Technology Installer","Actor that installs Technology","tech:TechnologyActor","","","","","","DGA 26.3","","","proposed","","","","","","","","","","","","","","","","","",""
"TechnologyMaintainer","Technology Maintainer","Actor that maintains Technology","tech:TechnologyActor","","","","","","DGA 26.3","","","proposed","","","","","","","","","","","","","","","","","",""
"TechnologyManufacturer","Technology Manufacturer","Actor that manufactures Technology","tech:TechnologyActor","","","","","","DGA 26.3","","","proposed","","","","","","","","","","","","","","","","","",""
"TechnologyOwner","Technology Owner","Actor that owns Technology","tech:TechnologyActor","","","","","","DGA 26.3","","","proposed","","","","","","","","","","","","","","","","","",""
"TechnologyPurchaser","Technology Purchaser","Actor that purchases Technology","tech:TechnologyActor","","","","","","DGA 26.3","","","proposed","","","","","","","","","","","","","","","","","",""
"TechnologySupplier","Technology Supplier","Actor that supplies Technology","tech:TechnologyActor","","","","","","DGA 26.3","","","proposed","","","","","","","","","","","","","","","","","",""
