Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
LegalBasis,Legal Basis,Legal basis used to justify processing of data or use of technology in accordance with a law,dpv:Concept,a,,,,"Legal basis (plural: legal bases) are defined by legislations and regulations, whose applicability is usually restricted to specific jurisdictions which can be represented using dpv:hasJurisdiction or dpv:hasLaw. Legal basis can be used without such declarations, e.g. 'Consent', however their interpretation will require association with a law, e.g. 'EU GDPR'.",,2019-04-05,2020-11-04,accepted,,https://www.w3.org/2019/04/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Consent,Consent,Consent of the Data Subject for specified processing,,dpv:LegalBasis,,,,,,2021-04-07,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/04/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
Contract,Contract,"Creation, completion, fulfilment, or performance of a contract involving specified processing of data or technologies",dpv:LegalAgreement,dpv:LegalBasis,,,,,,2021-04-07,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/04/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DataSubjectContract,Data Subject Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Subject as parties, and involving specified processing",dpv:Contract,dpv:LegalBasis,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,,,,,
DataProcessorContract,Data Processor Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Data Processor as parties, and involving specified processing",dpv:Contract,dpv:LegalBasis,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,,,,,
DataControllerContract,Data Controller Contract,"Creation, completion, fulfilment, or performance of a contract, with Data Controllers as parties being Joint Data Controllers, and involving specified processing",dpv:Contract,dpv:LegalBasis,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,,,,,
ThirdPartyContract,Third Party Contract,"Creation, completion, fulfilment, or performance of a contract, with the Data Controller and Third Party as parties, and involving specified processing",dpv:Contract,dpv:LegalBasis,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,,,,,
ContractPerformance,Contract Performance,Fulfilment or performance of a contract involving specified processing,dpv:Contract,dpv:LegalBasis,,,,,,2021-04-07,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/04/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
DataTransferLegalBasis,Data Transfer Legal Basis,Specific or special categories and instances of legal basis intended for justifying data transfers,,dpv:LegalBasis,,,,,,2021-09-08,,accepted,"David Hickey, Georg P Krogg",https://www.w3.org/2021/09/08-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
EnterIntoContract,Enter Into Contract,Processing necessary to enter into contract,dpv:Contract,dpv:LegalBasis,,,,,,2021-04-07,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/04/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LegalObligation,Legal Obligation,Legal Obligation to conduct the specified processing,,dpv:LegalBasis,,,,,,2021-04-07,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/04/07-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LegitimateInterest,Legitimate Interest,Legitimate Interests of a Party as justification for specified processing,,dpv:LegalBasis,,,,,,2021-05-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/05/19-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LegitimateInterestOfController,Legitimate Interest of Controller,Legitimate Interests of a Data Controller in conducting specified processing,dpv:LegitimateInterest,dpv:LegalBasis,,,,,,2021-05-19,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/05/19-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LegitimateInterestOfThirdParty,Legitimate Interest of Third Party,Legitimate Interests of a Third Party in conducting specified processing,dpv:LegitimateInterest,dpv:LegalBasis,,,,,,2021-05-19,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/05/19-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
LegitimateInterestOfDataSubject,Legitimate Interest of Data Subject,Legitimate Interests of the Data Subject in conducting specified processing,dpv:LegitimateInterest,dpv:LegalBasis,,,,,,2022-10-22,,accepted,Georg P Krog,,,,,,,,,,,,,,,,,,
OfficialAuthorityOfController,Official Authority of Controller,Processing necessary or authorised through the official authority granted to or vested in the Data Controller,,dpv:LegalBasis,,,,,,2021-05-05,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/05/05-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
PublicInterest,Public Interest,Processing is necessary or beneficial for interest of the public or society at large,,dpv:LegalBasis,,,,,,2021-04-21,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/04/21-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
VitalInterest,Vital Interest,Processing is necessary or required to protect vital interests of a data subject or other natural person,,dpv:LegalBasis,,,,,,2021-04-21,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2021/04/21-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
VitalInterestOfDataSubject,Vital Interest of Data Subject,Processing is necessary or required to protect vital interests of a data subject,dpv:VitalInterestOfNaturalPerson,dpv:LegalBasis,,,,,,2021-04-21,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/04/21-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
VitalInterestOfNaturalPerson,Vital Interest of Natural Person,Processing is necessary or required to protect vital interests of a natural person,dpv:VitalInterest,dpv:LegalBasis,,,,,,2021-04-21,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/2021/04/21-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
EULA,End User License Agreement (EULA),End User License Agreement is a contract entered into between a software (or service) developer or provider with the user,dpv:Contract,dpv:LegalBasis,,,,,,,,proposed,,https://www.w3.org/2021/06/30-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
TermsOfService,Terms of Service,Contract between a service provider and user. Also known as 'Terms of Use' or 'Terms and Conditions' ,dpv:Contract,dpv:LegalBasis,,,,,,,,proposed,,https://www.w3.org/2021/06/30-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
