Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Data,Data,A broad concept representing  'data' or 'information',dpv:Concept,a,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
PersonalData,Personal Data,Data directly or indirectly associated or related to an individual.,dpv:Data,sc,,spl:AnyData,rdfs:seeAlso,This definition of personal data encompasses the concepts used in GDPR Art.4-1 for 'personal data' and ISO/IEC 2700 for 'personally identifiable information (PII)'.,"(GDPR Art.4-1g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)",2019-04-05,2022-01-19,accepted,Harshvardhan Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
NonPersonalData,Non-Personal Data,Data that is not Personal Data,dpv:Data,sc,,,,"The term NonPersonalData is provided to distinguish between PersonalData and other data, e.g. for indicating which data is regulated by privacy laws. To specify personal data that has been anonymised, the concept AnonymisedData should be used as the anonymisation process has a risk of not being fully effective and such anonymous data may be found to be personal data depending on circumstances.",,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,

Data categorised by Anonymisation,,,,,,,,,,,,,,
AnonymisedData,Anonymised Data,Personal Data that has been (fully and completely) anonymised so that it is no longer considered Personal Data,dpv:NonPersonalData,sc,,,,"It is advised to carefully consider indicating data is fully or completely anonymised by determining whether the data by itself or in combination with other data can identify a person. Failing this condition, the data should be denoted as PseudonymisedData. To indicate data is anonymised only for a specified entity (e.g. within an organisation), the concept ContextuallyAnonymisedData (as subclass of PseudonymisedData) should be used instead of AnonymisedData.",,2022-01-19,,accepted,Piero Bonatti,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
ContextuallyAnonymisedData,Contextually Anonymised Data,Data that can be considered as being fully anonymised within a Context,dpv:PseudonymisedData,sc,,,,"To distinguish between pseudonymised data that can be effectively treated as anonymised data (e.g. in processing) within a context (e.g. an organisation), the concept ContextuallyAnonymisedData should be used instead of AnonymisedData. Transfer of this data outside of the context should consider that it is not anonymised, but is pseudonymised data.",,,,proposed,Harshvardhan J. Pandit,,,,,,,,,,,,,,
PseudonymisedData,Pseudonymised Data,Personal Data that has undergone a pseudonymisation process or a partial (incomplete) anonymisation process such that it is still considered Personal Data ,dpv:PersonalData,sc,,,,,,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
IdentifyingPersonalData,Identifying Personal Data,Personal Data that explicitly and by itself is sufficient to identify a person,dpv:PersonalData,sc,,,,"DPV does not use PII ('Personally Identifiable Information') as it has varying and conflicting definitions across sources. Instead the concept 'identifying personal data' is intended to provide a clear categorisation of its interpretation. Where multiple data categories can be combined to create an 'identifying' category e.g. fingerprinting, this concept represents the combined category.",,,,accepted,,,,,,,,,,,,,,,

Data categorised by Verification,,,,,,,,,,,,,,
VerifiedData,Verified Data,"Data that has been verified in terms of accuracy, consistency, or quality",dpv:Data,sc,,,,,,2022-11-02,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
IncorrectData,Incorrect Data,Data that is known to be incorrect or inconsistent with some requirements,dpv:Data,sc,,,,,,2022-11-02,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
UnverifiedData,Unverified Data,"Data that has not been verified in terms of accuracy, inconsistency, or quality",dpv:Data,sc,,,,,,2022-11-02,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,

Data categorised by source,,,,,,,,,,,,,,
CollectedData,Collected Data,Data that has been obtained by collecting it from a source,dpv:Data,sc,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,
DerivedData,Derived Data,Data that has been obtained through derivations of other data,dpv:Data,sc,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,
InferredData,Inferred Data,Data that has been obtained through inferences of other data,dpv:Data,sc,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,
ObservedData,Observed Data,Data that has been obtained through observations of a source,dpv:Data,sc,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,
GeneratedData,Generated Data,Data that has been obtained through generation or creation as a source,dpv:Data,sc,,,,,,2023-12-10,,accepted,,,,,,,,,,,,,,,
CollectedPersonalData,Collected Personal Data,Personal Data that has been collected from another source such as the Data Subject,"dpv:PersonalData,dpv:CollectedData",sc,,,,"To indicate the source of data, use the DataSource concept with the hasDataSource relation",,2022-03-30,2023-12-10,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,
DerivedPersonalData,Derived Personal Data,Personal Data that is obtained or derived from other data,"dpv:PersonalData,dpv:DerivedData",sc,,svd:Derived,,"Derived Data is data that is obtained through processing of existing data, e.g. deriving first name from full name. To indicate data that is derived but which was not present or evident within the source data, InferredPersonalData should be used.","(DPVCG, https://www.w3.org/community/dpvcg/)",2019-05-07,2023-12-10,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
InferredPersonalData,Inferred Personal Data,Personal Data that is obtained through inference from other data,"dpv:DerivedPersonalData,dpv:GeneratedPersonalData",sc,,,,"Inferred Data is derived data generated from existing data, but which did not originally exist within it, e.g. inferring demographics from browsing history.",,2022-01-19,2023-12-10,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
ObservedPersonalData,Observed Personal Data,Personal Data that has been collected through observation of the Data Subject(s),"dpv:PersonalData,dpv:ObservedData",sc,,,,,,2022-08-24,2023-12-10,accepted,Georg P Krog,,,,,,,,,,,,,,
GeneratedPersonalData,Generated Personal Data,Personal Data that is generated or brought into existence without relation to existing data i.e. it is not derived or inferred from other data,"dpv:PersonalData,dpv:InferredData",sc,,,,Generated Data is used to indicate data that is produced and is not derived or inferred from other data,,2022-03-30,2023-12-10,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,
SyntheticData,Synthetic Data,"Synthetic data reffers to artificially created data such that it is intended to resemble real data (personal or non-personal), but does not refer to any specific identified or identifiable individual, or to the real measure of an observable parameter in the case of non-personal data",dpv:GeneratedData,sc,,,,,"(ENISA Data Protection Engineering,https://www.enisa.europa.eu/publications/data-protection-engineering)",2022-08-18,2023-12-10,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data categorised by Sensitivity,,,,,,,,,,,,,,
SensitivePersonalData,Sensitive Personal Data,"Personal data that is considered 'sensitive' in terms of privacy and/or impact, and therefore requires additional considerations and/or protection",dpv:PersonalData,sc,,,,"Sensitivity' is a matter of context, and may be defined within legal frameworks. For GDPR, Special categories of personal data are considered a subset of sensitive data. To illustrate the difference between the two, consider the situation where Location data is collected, and which is considered 'sensitive' but not 'special'. As a probable rule, sensitive data require additional considerations whereas special category data requires additional legal basis / justifications.",,2022-01-19,,accepted,Harshvardhan J. Pandit,https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
SpecialCategoryPersonalData,Special Category Personal Data,Sensitive Personal Data whose use requires specific additional legal permission or justification,dpv:SensitivePersonalData,sc,,,,"The term 'special category' is based on GDPR Art.9, but should not be considered as exlusive to it. DPV considers all Special Categories to also be Sensitive, but whose use is either prohibited or regulated and therefore requires additional legal basis for justification that is separate from that for general personal data.","(GDPR Art.9-1, https://eur-lex.europa.eu/eli/reg/2016/679/art_9/par_1/oj)",2019-05-07,2022-01-19,accepted,"Elmar Kiesling; Harshvardhan J. Pandit, Fajar Ekaputra",https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119,,,,,,,,,,,,,
CommerciallyConfidentialData,CommerciallyConfidentialData,Data protected through Commercial Confidentiality Agreements,dpv:Data,sc,,,,,DGA 6.5(c),,,accepted,,,,,,,,,,,,,,,
ConfidentialData,ConfidentialData,Data deemed confidential,dpv:Data,sc,,,,,DGA 5.10,,,accepted,,,,,,,,,,,,,,,
IntellectualPropertyData,IntellectualPropertyData,Data protected by Intellectual Property rights and regulations,dpv:Data,sc,,,,,DGA 5.10,,,accepted,,,,,,,,,,,,,,,
SensitiveData,SensitiveData,Data deemed sensitive,dpv:Data,sc,,,,,,,,accepted,,,,,,,,,,,,,,,
SensitiveNonPersonalData,SensitiveNonPersonalData,Non-personal data deemed sensitive,dpv:SensitiveData,sc,,,,,DGA 30(a),,,accepted,,,,,,,,,,,,,,,
StatisticallyConfidentialData,StatisticallyConfidentialData,Data protected through Statistical Confidentiality regulations and agreements,dpv:Data,sc,,,,,DGA 2(20),,,accepted,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ExplicitlyIdentifyingPersonalData,,Personal Data that explicitly and by itself is sufficient to identify a person,dpv:PersonalData,sc,,,,,,,,discarded,,,,,,,,,,,,,,,
IndirectlyIdentifyingPersonalData,,Personal Data that cannot by itself be used ot identify a person and must be combined with other data in order to identify a person,dpv:PersonalData,sc,,,,,,,,discarded,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
