Term,Label,Definition,ParentTerm,ParentType,RelatedTerms,Relation,Source,Usage,Created,Contributors,Status,,,,,,,,,,,,,,,,
roles ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIProvider,AI Provider,"Natural or legal person, public authority, agency or other body that develops an AI system or a general purpose AI model or that has an AI system or a general purpose AI model developed and places them on the market or puts the system into service under its own name or trademark, whether for payment or free of charge","tech:Provider,eu-aiact:AIOperator",sc,,,AIA (Art. 3(2)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AIProspectiveProvider,AI Prospective Provider,"Natural or legal person, public authority, agency or other body that develops an AI system or a general purpose AI model or that has an AI system or a general purpose AI model developed - but has not yet placed them on the market or put the system into service",tech:Provider,sc,,,,,2024-04-10,Arthit Suriyawongkul,proposed,,,,,,,,,,,,,,,,
AIDeployer,AI Deployer,"Any natural or legal person, public authority, agency or other body using an AI system under its authority except where the AI system is used in the course of a personal non-professional activity","tech:Deployer,eu-aiact:AIOperator",sc,,,AIA (Art. 3(4)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AuthorisedRepresentative,Authorised Representative,"Any natural or legal person located or established in the Union who has received and accepted a written mandate from a provider of an AI system or a general-purpose AI model to, respectively, perform and carry out on its behalf the obligations and procedures established by the AI Act","dpv:Representative,eu-aiact:AIOperator",sc,,,AIA (Art. 3(5)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AIImporter,AI Importer,Any natural or legal person located or established in the Union that places on the market an AI system that bears the name or trademark of a natural or legal person established outside the Union,"tech:Importer,eu-aiact:AIOperator",sc,,,AIA (Art. 3(6)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AIDistributor,AI Distributor,"Any natural or legal person in the supply chain, other than the provider or the importer, that makes an AI system available on the Union market","tech:Distributor,eu-aiact:AIOperator",sc,,,AIA (Art. 3(7)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AIOperator,AI Operator,"The provider, the product manufacturer, the deployer, the authorised representative, the importer or the distributor;",tech:Operator,sc,,,AIA (Art. 3(8)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
DownstreamAIProvider,Downstream AI Provider,"A provider of an AI system, including a general-purpose AI system, which integrates an AI model, regardless of whether the model is provided by themselves and vertically integrated or provided by another entity based on contractual relations.",eu-aiact:AIProvider,sc,,,AIA(Art. 3(44g)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
NotifyingAuthority,Notifying Authority,"The national authority responsible for setting up and carrying out the necessary procedures for the assessment, designation and notification of conformity assessment bodies and for their monitoring",eu-aiact:NationalCompetentAuthority,sc,,,AIA(Art. 3(19)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
ConformityAssessmentBody,Conformity Assessment Body,"A body that performs third-party conformity assessment activities, including testing, certification and inspection",tech:Auditor,sc,,,AIA(Art. 3(21)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
NotifiedBody,Notified Body,A conformity assessment body notified in accordance with the AI Act and other relevant Union harmonisation legislation,eu-aiact:ConformityAssessmentBody,sc,,,AIA(Art. 3(22)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AIOffice,Artificial Intelligence Office,"Commission’s function of contributing to the implementation, monitoring and supervision of AI systems and AI governance. References in the AI Act to the Artificial Intelligence office shall be understood as references to the Commission.",dpv:Authority,sc,,,AIA(Art. 3(42)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
NationalCompetentAuthority,National Competent Authority,"The notifying authority and the market surveillance authority. As regards AI systems put into service or used by EU institutions, agencies, offices and bodies, any reference to national competent authorities or market surveillance authorities in the AI Act shall be understood as referring to the European Data Protection Supervisor.",dpv:Authority,sc,,,AIA(Art. 3(42)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
MarketSurveillanceAuthority,Market Surveillance Authority,The national authority carrying out the activities and taking the measures pursuant to Regulation (EU) 2019/1020,eu-aiact:NationalCompetentAuthority,sc,,,AIA(Art. 3(26)),,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
AIProductManufacturer,AI Product Manufacturer,Entity that manufactures an AI Product,tech:Manufacturer,sc,,,,,2024-04-10,Delaram Golpayegani,accepted,,,,,,,,,,,,,,,,
