Term,Label,Definition,domain,range,ParentProperty,RelatedTerms,Relation,Usage,Source,CreationDate,Modified,Status,Contributors,Resolution
hasConsentStatus,has consent status,Specifies the state or status of consent,dpv:Concept,dpv:ConsentStatus,,,,,,2022-06-21,,accepted,"Georg P. Krog, Harshvardhan J. Pandit, Paul Ryan, Julian Flake",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
hasConsentControl,has consent control,Specific a control associated with consent,dpv:Concept,dpv:ConsentControl,,,,,,2024-05-11,,accepted,,
Deprecated ,,,,,,,,,,,,,,
hasExpiry,has expiry,Generic property specifying when or under which condition(s) the consent will expire,,,,,,use dpv:hasDuration instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasExpiryTime,has expiry time,Specifies the expiry time or duration for consent,,,dpv:hasExpiry,,,use dpv:hasDuration instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasExpiryCondition,has expiry condition,Specifies the condition or event that determines the expiry of consent,,,dpv:hasExpiry,,,use dpv:hasDuration instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasProvisionMethod,has provision method,Specifies the method by which consent was provisioned or provided,,,,,,use dpv:hasIndicationMethod instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasProvisionTime,has provision time,Specifies the instant in time when consent was given,,,,,,use dpv:isIndicatedAtTime instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasWithdrawalMethod,has withdrawal method,Specifies the method by which consent can be/has been withdrawn,,,,,,use dpv:hasIndicationMethod instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasWithdrawalTime,has withdrawal time,Specifies the instant in time when consent was withdrawn,,,,,,use dpv:isIndicatedAtTime instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasWithdrawalBy,has withdrawal by,Specifies the entity that withdrew consent,,dpv:LegalEntity,,,,use dpv:isIndicatedBy instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasProvisionBy,has provision by,Specifies the entity that provisioned or provided consent,,dpv:LegalEntity,,,,use dpv:isIndicatedBy instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
hasProvisionByJustification,has provision by justification,Specifies the justification for entity providing consent,,,,,,use dpv:hasJustification instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
hasWithdrawalByJustification,has withdrawal by justification,Specifies the justification for entity withdrawing consent,,,,,,use dpv:hasJustification instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html,,,,,,,,,,,,,
hasConsentNotice,has consent notice,Specifies the notice provided in context of consent,,,,,,use dpv:hasNotice instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
isExplicit,is explicit,Specifies consent is 'explicit',,xsd:boolean,,,,use dpv:ExplicitlyExpressedConsent instead,,2019-04-05,2022-12-04,deprecated,"Harshvardhan J. Pandit, Mark Lizar, Bud Bruegger
",https://www.w3.org/2022/06/22-dpvcg-minutes.html
