Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution,,,,,,,,,,,,,,,
EHRManufacturer,Electronic Health Record Manufacturer,Actor that manufactures electronic health records,eu-ehds:TechnologyManufacturer,,,,,,EHDS Art.1.3(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
EHRSupplier,Electronic Health Record Supplier,Actor that supplies electronic health records,eu-ehds:TechnologySupplier,,,,,,EHDS Art.1.3(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
WellnessAppManufacturer,Wellness App Manufacturer,Actor that manufactures wellness apps,eu-ehds:TechnologyManufacturer,,,,,,EHDS Art.1.3(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
WellnessAppSupplier,Wellness App Supplier,Actor that supplies wellness apps,eu-ehds:TechnologySupplier,tech:Actor,,,,,EHDS Art.1.3(a),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthProfessional,Health Professional,An entity that works as a health professional,dpv:Entity,sc,,,,,EHDS Art.2.1(b),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthcareProvider,Healthcare Provider,An entity that provides healthcare-related services,dpv:Entity,sc,,,,,EHDS Art.2.1(b),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
TechnologyManufacturer,Technology Manufacturer,Actor that manufactures Technology,,tech:Actor,,,,,EHDS Art.2.1(d),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
TechnologyImporter,Technology Importer,Actor that imports Technology,,tech:Actor,,,,,EHDS Art.2.1(d),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
TechnologyDistributor,Technology Distributor,Actor that distributes Technology,,tech:Actor,,,,,EHDS Art.2.1(d),2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
TechnologySupplier,Technology Supplier,Actor that supplies Technology,,tech:Actor,,,,,,2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
HealthDataAccessBody,Health Data Access Body,An entity governed by public law responsible for granting access to electronic health data for secondary use,dpv:LegalEntity,sc,,,,,EHDS Art.36.1,2024-12-01,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
