Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
Risk,Risk,"A risk or possibility or uncertainty of negative effects, impacts, or consequences",dpv:Concept,a,,,,"Risks can be associated with one or more different concepts such as purpose, processing, personal data, technical or organisational measure",,2020-11-18,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2020/11/18-dpvcg-minutes.html,,,,,,,,,,,,,,,,,
RiskMitigationMeasure,Risk Mitigation Measure,"Measures intended to mitigate, minimise, or prevent risk.",dpv:TechnicalOrganisationalMeasure,sc,,,,,,2020-11-04,,accepted,"Georg P Krog, Harshvardhan J. Pandit, Paul Ryan",https://www.w3.org/community/dpvcg/wiki/Workshop20201104,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Consequence,Consequence,The consequence(s) possible or arising from specified context,dpv:Concept,a,,,,,,2022-01-26,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/01/26-dpvcg-minutes.html,,,,,,,,,,,,,
ConsequenceOfSuccess,Consequence of Success,The consequence(s) possible or arising from success of specified context,dpv:Consequence,sc,,,,,,2022-03-23,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,
ConsequenceOfFailure,Consequence of Failure,The consequence(s) possible or arising from failure of specified context,dpv:Consequence,sc,,,,,,2022-03-23,,accepted,"Harshvardhan J. Pandit, Georg P Krog",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,
ConsequenceAsSideEffect,Consequence as Side-Effect,The consequence(s) possible or arising as a side-effect of specified context,dpv:Consequence,sc,,,,,,2022-03-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Impact,Impact,The impact(s) possible or arising as a consequence from specified context,dpv:Consequence,sc,,,,"Impact is a stronger notion of consequence in terms of influence, change, or effect on something e.g. for impact assessments",,2022-03-23,,accepted,"Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Fajar Ekaputra, Beatriz Esteves",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,
Benefit,Benefit,Impact(s) that acts as or causes benefits,,dpv:Impact,,,,,,2022-03-23,,accepted,"Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Fajar Ekaputra, Beatriz Esteves, Axel Polleres",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,
Detriment,Detriment,Impact that acts as or causes detriments,,dpv:Impact,,,,,,2022-03-23,,accepted,"Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Fajar Ekaputra, Beatriz Esteves",https://www.w3.org/2022/03/23-dpvcg-minutes.html,,,,,,,,,,,,,
Damage,Damage,Impact that acts as or causes damages,,dpv:Impact,,,,,,2022-03-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,
MaterialDamage,Material Damage,Impact that acts as or causes material damages,dpv:Damage,dpv:Impact,,,,,,2022-03-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,
NonMaterialDamage,Non-Material Damage,Impact that acts as or causes non-material damages,dpv:Damage,dpv:Impact,,,,,,2022-03-30,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/03/30-dpvcg-minutes.html,,,,,,,,,,,,,
Harm,Harm,Impact that acts as or causes harms,dpv:Damage,dpv:Impact,,,,,,2022-08-13,,changed,"Harshvardhan J. Pandit, Julian Flake, Georg P Krog, Fajar Ekaputra, Beatriz Esteves",,,,,,,,,,,,,,
Compensation,Compensation,,dpv:Benefit,dpv:Impact,,,,,,,,proposed,,,,,,,,,,,,,,,,,,
Reward,Reward,,dpv:Compensation,dpv:Impact,,,,,,,,proposed,,,,,,,,,,,,,,,,,,
Payment,Payment,,dpv:Compensation,dpv:Impact,,,,,,,,proposed,,,,,,,,,,,,,,,,,,
Fee,Fee,Fee charged by an entity to provide a service,dpv:Compensation,dpv:Impact,,,,,DGA 2.10,,,proposed,,,,,,,,,,,,,,,,,,
Renumeration,Renumeration,,dpv:Compensation,dpv:Impact,,,,,,,,proposed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RiskLevel,Risk Level,The magnitude of a risk expressed as an indication to aid in its management,dpv:Concept,a,,,,"Risk Levels can be defined as a combination of different characteristics. For example, ISO 31073:2022 defines it as a combination of consequences and their likelihood. Another example would be the Risk Matrix where Risk Level is defined as a combination of Likelihood and Severity associated with the Risk.",,2022-07-20,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/07/20-dpvcg-minutes.html,,,,,,,,,,,,,
Severity,Severity,The magnitude of being unwanted or having negative effects such as harmful impacts,dpv:Concept,a,,,,"Severity can be associated with Risk, or its Consequences and Impacts",,2022-07-21,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/07/20-dpvcg-minutes.html,,,,,,,,,,,,,
Likelihood,Likelihood,The likelihood or probability or chance of something taking place or occuring,dpv:Concept,a,,,,"Likelihood can be expressed in a subjective manner, such as 'Unlikely', or in a quantitative manner such as ""Twice in a Day"" (frequency per period). The suggestion is to use quantitative values, or to associate them with subjective terms used so as to enable accurate interpretations and interoperability. See the concepts related to Frequency and Duration for possible uses as a combination to express Likelihood.",,2022-07-22,,accepted,Harshvardhan J. Pandit,https://www.w3.org/2022/07/20-dpvcg-minutes.html,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RiskThreat,Risk Threat,"The potential source of danger, harm, or other undesirable outcome",dpv:Concept,a,,,,,"(ISO 31073:2022,https://www.iso.org/standard/79637.html)",,,proposed,,,,,,,,,,,,,,,
RiskVulnerability,Risk Vulnerability,The intrinsic properties resulting in susceptibility to a risk source that can lead to consequences and impacts,dpv:Concept,a,,,,,"(ISO 31073:2022,https://www.iso.org/standard/79637.html)",,,proposed,,,,,,,,,,,,,,,
RiskSource,Risk Source,A thing with the potential to give rise to risk,dpv:Concept,a,,,,,"(ISO 31073:2022,https://www.iso.org/standard/79637.html)",,,proposed,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
