Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
reused from dpv,,,,,,,,,,,,,,
dpv:Risk,dpv:RiskLevel,,,,,,,,,,,,,
dpv:Consequence,dpv:Likelihood,,,,,,,,,,,,,
dpv:Impact,dpv:Severity,,,,,,,,,,,,,

Incident,Incident,An actual or occured event,dpv:RiskConcept,sc,,,,Incident is realised or materialised risk,,2024-02-14,2024-08-16,accepted,"Rob Brennan, Harshvardhan J. Pandit, Delaram Golpayegani, Julio Fernandez",,,,,,,,,,,,,,,,,,
RiskSource,Risk Source,"The 'cause' or 'source', which by itself or with another source has the potential to give rise to risk",dpv:RiskConcept,sc,,,,,,2024-02-14,2024-08-16,accepted,,,,,,,,,,,,,,,
Threat,Threat,Risk source event which causes Risk,risk:RiskSource,sc,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
ThreatSource,Threat Source,"Source of threat event, including both agent and non-agent sources",dpv:Concept,sc,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
Vulnerability,Vulnerability,Intrinsic property of a system or asset that is utilised by the Threat Source in a Threat event to cause Risk,dpv:Concept,sc,,,,,,2024-02-14,,accepted,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
proposed from ISO 31073:2022 Risk management — Vocabulary,,,,,,,,,,,,,,
RiskManagement,Risk Management,"Systematic application of management policies, procedures, and practices for communicating, consulting, establishing context, and identifying, analysing, evaluating, treating, monitoring and reviewing risk. ISO 31000 definition: coordinated activities to direct and control an organization with regard to risk",dpv:Concept,sc,,,,,ISO 31073:2022 Risk management vocabulary,2024-06-12,,accepted,,,,,,,,,,,,,,,
RiskAssessment,Risk Assessment,"Assessment of risk involving its identification, analysis, and evaluation",risk:RiskManagement,sc,,,,,ISO 31073:2022 Risk management vocabulary,2024-02-14,,accepted,,,,,,,,,,,,,,,
RiskIdentification,Risk Identification,"Identification of risks involving identification of risk sources, potential incidents, their causes, and their potential consequences",risk:RiskAssessment,sc,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
RiskAnalysis,Risk Analysis,"A technique or method used to analyse and identify risk levels, sources, likelihoods, severities, and other necessary information required to conduct risk management procedures",risk:RiskAssessment,sc,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2022-08-18,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,
RiskEvaluation,Risk Evaluation,Process determining acceptability or tolerance of risk by comparing risk analysis outcomes against risk criteria,risk:RiskAssessment,sc,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
RiskAcceptance,Risk Acceptance,Entity decision to accept or enable a particular risk,risk:RiskManagement,sc,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
RiskTreatment,Risk Treatment,Process by which risk is modified and mitigated,risk:RiskManagement,sc,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,
RiskPerception,Risk Perception,Perception or view on risk,risk:RiskManagement,sc,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,
RiskCriteria,Risk Criteria,Criteria for determining or evaluating significance of risk,risk:RiskManagement,sc,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
RiskOwner,Risk Owner,Entity accountable for managing risk,risk:RiskManagement,sc,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RiskMatrix,Risk Matrix,Compares individual risks by selecting a consequence/ likelihood pair and displaying them on a matrix with consequence on one axis and likelihood on the other.,,risk:RiskAssessment,,,,,"(IEC 31010:2019,https://www.iso.org/standard/72140.html)",2024-02-14,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PotentialRisk,Potential Risk,Indicates a concept can potentially be a 'risk' concept within an use-case,dpv:RiskConcept,sc,,,,PotentialRisk is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
PotentialRiskSource,Potential RiskSource,Indicates a concept can potentially be a 'risk source' concept within an use-case,dpv:RiskConcept,sc,,,,PotentialRiskSource is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,
PotentialConsequence,Potential Consequence,Indicates a concept can potentially be a 'consequence concept within an use-case,dpv:RiskConcept,sc,,,,PotentialConsequence is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
PotentialImpact,Potential Impact,Indicates a concept can potentially be a 'impact' concept within an use-case,dpv:RiskConcept,sc,,,,PotentialImpact is a suggestion that the concept can be a 'risk' within an use-case - this suggestion is not exclusive and the concept may also be instances of other potential concepts to indicate the multiple possible roles a concept can take. This suggestion can be ignored if it is not applicable to the use-case,,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ConfidentialityConcept,Confidentiality Concept,Indicates a concept is relevant to 'Confidentiality' in CIA InfoSec model,dpv:RiskConcept,sc,,,,"This concept allows indicating the applicability of Confidentiality dimension to concepts whether they are a risk source, risk, consequence, or impact",,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
IntegrityConcept,Integrity Concept,Indicates a concept is relevant to 'Integrity' in CIA InfoSec model,dpv:RiskConcept,sc,,,,"This concept allows indicating the applicability of Integrity dimension to concepts whether they are a risk source, risk, consequence, or impact",,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
AvailabilityConcept,Availability Concept,Indicates a concept is relevant to 'Availability' in CIA InfoSec model,dpv:RiskConcept,sc,,,,"This concept allows indicating the applicability of Impact dimension to concepts whether they are a risk source, risk, consequence, or impact",,2024-09-29,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
