Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
EUDataAltruismConsentForm,European Data Altruism Consent Form,A form provided by the European Commission for collecting consent,dpv:ConsentManagement,dpv:OrganisationalMeasure,,,,,DGA 25.1,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataAltruismAnnualReport,Data Altruism Annual Activity Report,Document containing the annual activities reported by a Data Altruism organisation,dpv:RecordsOfActivities,dpv:OrganisationalMeasure,,,,,DGA 20.2,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataAltruismRecord,Record of Data Altruism Activity,Document that logs the activity of the data altruism organisation,dpv:RecordsOfActivities,dpv:OrganisationalMeasure,,,,,DGA 20,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataIntermediationRecord,Record of Data Intermediation Activity,Document that logs the activity of the data intermediation service provider,dpv:RecordsOfActivities,dpv:OrganisationalMeasure,,,,,DGA 12.o,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataAltruismNotice,Data Altruism Notice,Notice providing information regarding the processing of data for data altruistic purposes,dpv:Notice,dpv:OrganisationalMeasure,,,,,DGA 21.1,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataAssetList,Data Asset List,Searchable asset list which contains available data resources including their data format and size and the conditions for their re-use,,dpv:OrganisationalMeasure,,,,,DGA 8.2,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataExchangeMethod,Data Exchange Method,Methods to facilitate the exchange of data,dpv:TechnicalMeasure,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISPNotice,Data Intermediation Service Notification,Notification by a Data Intermediation Service Provider to a competent authority concerning changes to details regarding its Data Intermediation Service,dpv:Notice,dpv:OrganisationalMeasure,,,,,"DGA 11.1, DGA 11.9, DGA 11.12, DGA 11.13",2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
NationalDataAltruismPolicy,National Data Altruism Policy,A Policy established at National level regarding Data Altruism,dpv:Policy,dpv:OrganisationalMeasure,,,,,DGA 16,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DataReuseRequest,Data Reuse Request,Procedure to handle requests and provide data for reuse via single information point,,dpv:OrganisationalMeasure,,,,,DGA 5.1,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
PersonalDataReuseNotice,Personal Data Reuse Notice,"Notice for data subjects to provide consent based on information and advise regarding intended use of data, exercise of rights, and applicable terms and conditions",dpv:ConsentNotice,dpv:OrganisationalMeasure,,,,,DGA 12.m,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
SecureProcessingEnvironment,Secure Processing Environment,Physical or virtual environment to ensure compliance with EU law and allow the entity providing the secure processing environment to determine and supervise all data processing actions,dpv:SecureProcessingEnvironment,dpv:TechnicalMeasure,,,,,DGA 2.20,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
DISPEUApproval,EU Approval for Data Intermediation Service Provider,Confirmation and approval by a competent authority for the Data Intermediation Service Provider's compliance with Article 11 and Article 12 of the DGA,dpv:CertificationSeal,dpv:OrganisationalMeasure,,,,,DGA 11.9,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
ThirdCountryDataRequestNotice,Third Country Data Request Notice,Notice regarding a request of a third-country administrative authority to access data,dpv:DataTransferNotice,dpv:OrganisationalMeasure,,,,,DGA 31.5,2024-02-14,,accepted,Beatriz Esteves,,,,,,,,,,,,,,,,,
EthicsCouncil,Ethics Council,"A council that provides suggestions, advice, or recommendations in matters related to Ethics",,,,,,,DGA R46,2025-01-01,,,Georg P. Krog,
EthicsBoard,Ethics Board,A board that has decision-making powers in matters related to Ethics,,,,,,,DGA R46,2025-01-01,,,Georg P. Krog,
