Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
HealthcareManagement,Healthcare Management,Purposes associated with management of healthcare infrastructure and services,,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
HealthcareServiceManagement,Healthcare Service Management,Purposes associated with management of healthcare services,sector-health:HealthcareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PrimaryCareManagement,Primary Care Management,Purposes associated with management of primary healthcare services,sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SpecialisedCareManagement,Specialised Care Management,Purposes associated with management of specialised healthcare services,sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EmergencyCareManagement,Emergency Care Management,Purposes associated with management of emergency care as part of healthcare services,sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EmergencyCareCommunication,Emergency Care Communication,Purposes associated with management of communication for emergency care as part of healthcare services,sector-health:EmergencyCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EmergencyCareDispatch,Emergency Care Dispatch,Purposes associated with management of emergency care dispatch as part of healthcare services,sector-health:EmergencyCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EmergencyCareTriage,Emergency Care Triage,Purposes associated with management of prioritisation and other triage processes as part of emergency care in healthcare services,sector-health:EmergencyCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EmergencyCareEligibilityAssessment,Emergency Care Eligibility Assessment,Purposes associated with assessment of eligibility to receive or continue to receive emergency care as part of healthcare services,sector-health:EmergencyCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ServiceProvision,Service Provision,Purposes associated with provision of healthcare services,"sector-health:HealthcareServiceManagement,dpv:ServiceProvision",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
AccessManagement,Access Management,"Purposes associated with managing access to infrastructure, resources, and services as part of healthcare",sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
AppointmentScheduling,Appointment Scheduling,Purposes associated with scheduling appointments for use of healthcare services,sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EligibilityAssessment,Eligibility Assessment,Purposes associated with assessment of eligibility to receive or continue to receive healthcare services,sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ReferralManagement,Referral Management,Purposes associated with management of referrals as part of healthcare services,sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ProvidersDataSharing,Providers Data Sharing,"Purposes associated with sharing of patient information between healthcare providers, such as between hospitals treating the same patient",sector-health:HealthcareServiceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
DiagnosisManagement,Diagnosis Management,Purposes associated with conducting and managing diagnosis as part of healthcare services,sector-health:ServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
MedicalConditionDiagnosis,Medical Condition Diagnosis,Purposes associated with conducting and managing medical diagnosis as part of healthcare services,sector-health:DiagnosisManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
GeneticConditionDiagnosis,Genetic Condition Diagnosis,Purposes associated with conducting and managing genetic diagnosis as part of healthcare services,sector-health:DiagnosisManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
MentalHealthConditionDiagnosis,Mental Health Condition Diagnosis,Purposes associated with conducting and managing mental health diagnosis as part of healthcare services,sector-health:DiagnosisManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ConsultationManagement,Consultation Management,Purposes associated with managing consultations as part of healthcare services,sector-health:ServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientMonitoring,Patient Monitoring,Purposes associated with monitoring of patients for treatment and safety as part of healthcare services,sector-health:ServiceProvision,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientRemoteMonitoring,Patient Remote Monitoring,Purposes associated with remote monitoring of patients for treatment and safety as part of healthcare services,sector-health:PatientMonitoring,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientPostTreatmentMonitoring,Patient Post Treatment Monitoring,Purposes associated with monitoring of patients post-treatment for health and safety as part of healthcare services,sector-health:PatientMonitoring,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientTreatmentEffectivenessMonitoring,Patient Treatment Effectiveness Monitoring,Purposes associated with monitoring of treatment effectiveness as part of healthcare services,sector-health:PatientMonitoring,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientChronicConditionMonitoring,Patient Chronic Condition Monitoring,Purposes associated with monitoring of patients with chronic conditions for health and safety as part of healthcare services,sector-health:PatientMonitoring,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientIntensiveCareMonitoring,Patient Intensive Care Monitoring,Purposes associated with monitoring of patients in intensive care as part of healthcare services,sector-health:PatientMonitoring,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientTreatmentOutcomeAnalysis,Patient Treatment Outcome Analysis,Purposes associated with analysis of patient treatment outcomes as part of healthcare services,sector-health:PatientMonitoring,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ResourceManagement,Resource Management,Purposes associated with management of resources related to healthcare services,sector-health:HealthcareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientInformationManagement,Patient Information Management,Purposes associated with management of patient information in relation to healthcare services,sector-health:ResourceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ElectronicRecordsManagement,Electronic Records Management,Purposes associated with management of patient information in electronic forms for healthcare services,sector-health:PatientInformationManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PatientConsentManagement,Patient Consent Management,Purposes associated with management of consent from or related to patients in relation to healthcare services,sector-health:PatientInformationManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PreventativeCareManagement,Preventative Care Management,Purposes associated with management of preventative care as part of healthcare services,"sector-health:HealthcareServiceManagement,dpv:ImproveHealthcare",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
DiseasePreventionAwareness,Disease Prevention Awareness,Purposes associated with management of disease prevention awareness as part of healthcare services,sector-health:PreventativeCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
FitnessNutritionAwareness,Fitness Nutrition Awareness,Purposes associated with management of fitness and nutrition awareness as part of healthcare services,sector-health:PreventativeCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
MentalHealthAwareness,Mental Health Awareness,Purposes associated with management of mental health awareness as part of healthcare services,sector-health:PreventativeCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
VaccinationManagement,Vaccination Management,Purposes associated with management of vaccinations as part of healthcare services,sector-health:PreventativeCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PublicHealthMonitoring,Public Health Monitoring,Purposes associated with monitoring of public health as part of healthcare services,sector-health:PreventativeCareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
CrisisManagement,Crisis Management,Purposes associated with management of crisis situations in relation to healthcare services,"sector-health:HealthcareServiceManagement,dpv:ImproveHealthcare",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PandemicResponseManagement,Pandemic Response Management,Purposes associated with management of pandemics and related crisis situations in relation to healthcare services,sector-health:CrisisManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
DisasterReliefManagement,Disaster Relief Management,Purposes associated with management of disaster relief and related crisis situations in relation to healthcare services,sector-health:CrisisManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ResearchDevelopment,Research Development,Purposes associated with research and development regarding healthcare services,"sector-health:HealthcareManagement,dpv:ResearchAndDevelopment,dpv:ImproveHealthcare",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
HealthTrendAnalysis,Health Trend Analysis,Purposes associated with analysing trends in public health and safety,sector-health:ResearchDevelopment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PredictiveHealthRiskAnalysis,Predictive Health Risk Analysis,Purposes associated with analysing and predicting risks to public health and safety,sector-health:ResearchDevelopment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PopulationHealthAnalysis,Population Health Analysis,Purposes associated with analysing trends and outcomes in a specific population or group of people regarding health and safety,sector-health:ResearchDevelopment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
EffectivenessAssessment,Effectiveness Assessment,Purposes associated with assessing the effectiveness of healthcare infrastructure and services,sector-health:ResearchDevelopment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
HealthInequalityAnalysis,Health Inequality Analysis,"Purposes associated with detecting, analysing, and identifying ways to mitigate inequality in provision and use of healthcare services",sector-health:ResearchDevelopment,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
Optimisation,Optimisation,Purposes associated with identifying optimisations to use and provision of healthcare services,"sector-health:HealthcareManagement,dpv:ImproveHealthcare",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
MedicalResourceOptimisation,Medical Resource Optimisation,Purposes associated with identifying optimisations related to use of medical resources as part of healthcare services,sector-health:Optimisation,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
DiagnosticOptimisation,Diagnostic Optimisation,Purposes associated with identifying optimisations related to use of diagnosis tools and processes as part of healthcare services,"sector-health:Optimisation,dpv:ServiceOptimisation",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
TreatmentOptimisation,Treatment Optimisation,Purposes associated with identifying optimisations related to use of treatments and related processes as part of healthcare services,"sector-health:Optimisation,dpv:ServiceOptimisation",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
InsuranceManagement,Insurance Management,Purposes associated with management of insurance as part of providing healthcare services,"sector-health:HealthcareManagement,dpv:InsuranceManagement",dpv:Purpose,,,,,,2024-12-01,2025-10-28,modified,,,,,,,,,,,,,,,,,,,
HealthInsuranceManagement,Health Insurance Management,Purposes associated with managing health insurance as part of healthcare services,sector-health:InsuranceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
LifeInsuranceManagement,Life Insurance Management,Purposes associated with managing life insurance as part of healthcare services,sector-health:InsuranceManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
WorkforceManagement,Workforce Management,Purposes associated with management of workforce involved in provision of healthcare services,sector-health:HealthcareManagement,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
SecurityManagement,Security Management,Purposes associated with management of security in relation to healthcare services,"sector-health:HealthcareManagement,dpv:OrganisationRiskManagement",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
FraudPreventionDetection,Fraud Prevention Detection,Purposes associated with fraud prevention and detection in relation to healthcare services,"sector-health:SecurityManagement,dpv:FraudPreventionAndDetection",dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
InsuranceClaimFraudManagement,Insurance Claim Fraud Management,Purposes associated with insurance fraud prevention and detection in relation to healthcare services,sector-health:FraudPreventionDetection,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
ServiceBillingFraudManagement,Service Billing Fraud Management,Purposes associated with billing prevention and detection in relation to healthcare services,sector-health:FraudPreventionDetection,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
IdentityFraudManagement,Identity Fraud Management,Purposes associated with identity prevention and detection in relation to healthcare services,sector-health:FraudPreventionDetection,dpv:Purpose,,,,,,2024-12-01,,accepted,,,,,,,,,,,,,,,,,,,
PublicInterestRelatedToHealth,Public Interest related to Health,Purposes associated with pursuing activities for reasons of public interest in the area of public and occupational health,,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
ProtectAgainstCrossBorderThreatsToHealth,Protect against Cross-border Threats to Health,Purposes associated with the protection against serious cross-border threats to health,sector-health:PublicInterestRelatedToHealth,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
PublicHealthSurveillance,Public Health Surveillance,Purposes associated with public health surveillance,sector-health:PublicInterestRelatedToHealth,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
EnsureQualitySafetyHealthcare,Ensure Quality and Safety of Healthcare,"Purposes associated with ensuring high levels of quality and safety of healthcare, including patients safety",sector-health:PublicInterestRelatedToHealth,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
EnsureQualitySafetyMedicinalProducts,Ensure Quality and Safety of Medicinal Products,Purposes associated with ensuring high levels of quality and safety of medicinal products,sector-health:PublicInterestRelatedToHealth,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
EnsureQualitySafetyMedicalDevices,Ensure Quality and Safety of Medical Devices,Purposes associated with ensuring high levels of quality and safety of medical devices,sector-health:PublicInterestRelatedToHealth,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
SupportAuthoritiesRegulatoryActivities,Support Authorities in Regulatory Activities,Purposes associated with supporting authorities to carry out their regulatory tasks,dpv:LegalCompliance,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
PublicPolicyMaking,Public Policy Making,Purposes associated with public policy making policymaking in the healthcare sector,dpv:PublicPolicyMaking,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
ProvideHealthcareOfficialStatistics,Provide Healthcare Official Statistics,"Purposes associated with facilitating the development, production and dissemination of reliable official statistics related to health or care sectors",dpv:ProvideOfficialStatistics,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
ImproveHealthcareEducation,Improve Healthcare Education,Purposes associated with improving the provision of healthcare education,dpv:ImprovePublicServices,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
HealthcareScientificResearch,Healthcare Scientific Research,Purposes associated with healthcare scientific research,dpv:ScientificResearch,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
DevelopPublicHealthProductsAndServices,Develop Public Health Products and Services,Purposes associated with developing products and services that contribute to public health,dpv:ResearchAndDevelopment,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
DevelopSocialSecurityProductsAndServices,Develop Social Security Products and Services,Purposes associated with developing products and services that contribute to social security,dpv:ResearchAndDevelopment,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
TrainTestAndEvaluateHealthAlgorithms,"Train, Test and Evaluate Health-related Algorithms","Purposes associated with training, testing and evaluating health-related algorithms",dpv:Purpose,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
TrainTestAndEvaluateMedicalDevicesAlgorithms,"Train, Test and Evaluate Medical Devices Algorithms","Purposes associated with training, testing and evaluating algorithms in medical devices",sector-health:TrainTestAndEvaluateHealthAlgorithms,dpv:Purpose,,,,,,2026-02-04,,proposed,Beatriz Esteves,,,,,,,,,,,,,,,,,,
