term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
A13,class,https://w3id.org/dpv/legal/eu/gdpr#A13,A13 Right to be Informed,information to be provided where personal data is directly collected from data subject,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-Denied,class,https://w3id.org/dpv/legal/eu/gdpr#A13-Denied,A13 Denied,A denial that A13 applied to the situation,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-Eroded,class,https://w3id.org/dpv/legal/eu/gdpr#A13-Eroded,A13 Eroded,Erosion of A13 obligation to provide information e.g. by repeatedly and systematically limited or denying it,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-ExercisePrevented,class,https://w3id.org/dpv/legal/eu/gdpr#A13-ExercisePrevented,A13 ExercisePrevented,The prevention of A13 obligation to provide information e.g. by preventing the data subject from obtaining this information,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,Impact on A13 Right to be Informed,Something that acts as or is considered as an impact on A13 Right to be Informed,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-Limited,class,https://w3id.org/dpv/legal/eu/gdpr#A13-Limited,A13 Limited,A limited fulfillment of A13 obligation to provide information e.g. not providing all required information,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-Obstructed,class,https://w3id.org/dpv/legal/eu/gdpr#A13-Obstructed,A13 Obstructed,Obstruction of A13 obligation to provide information e.g. asking for unnecessary identity verification and making it difficult to obtain information,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-Unfulfilled,class,https://w3id.org/dpv/legal/eu/gdpr#A13-Unfulfilled,A13 Unfulfilled,Non-fulfillment of A13 obligation to provide required information,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A13-Violated,class,https://w3id.org/dpv/legal/eu/gdpr#A13-Violated,A13 Violated,A violation of A13 obligation regarding providing information,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#A13-Impact,"What constitutes as a violation of A13 depends on the particulars of the situation, therefore we suggest first representing the impact using the appropriate category of impact (e.g. denied, limited) and then assessing whether it constitutes as a violation",2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A14,class,https://w3id.org/dpv/legal/eu/gdpr#A14,A14 Right to be Informed,information to be provided where personal data is collected from other sources,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A14-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A14-Impact,Impact on A14 Right to be Informed,Something that acts as or is considered as an impact on A14 Right to be Informed,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A15,class,https://w3id.org/dpv/legal/eu/gdpr#A15,A15 Right of Access,Right of access,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A15-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A15-Impact,Impact on A15 Right of Access,Something that acts as or is considered as an impact on A15 Right of Access,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A16,class,https://w3id.org/dpv/legal/eu/gdpr#A16,A16 Right to Rectification,Right to rectification,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A16-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A16-Impact,Impact on A16 Right to Rectification,Something that acts as or is considered as an impact on A16 Right to Rectification,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A17,class,https://w3id.org/dpv/legal/eu/gdpr#A17,A17 Right to Erasure,Right to erasure ('Right to be forgotten'),https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A17-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A17-Impact,Impact on A17 Right to Erasure,Something that acts as or is considered as an impact on A17 Right to Erasure,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A18,class,https://w3id.org/dpv/legal/eu/gdpr#A18,A18 Right to Restrict Processing,Right to restriction of processing,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A18-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A18-Impact,Impact on A18 Right to Restrict Processing,Something that acts as or is considered as an impact on A18 Right to Restrict Processing,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A19,class,https://w3id.org/dpv/legal/eu/gdpr#A19,A19 Right to Rectification Notification,Right to be notified in case of rectification or erasure of personal data or restriction of processing,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,2024-04-14,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A19-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A19-Impact,Impact on A19 Right to Rectification Notification,Something that acts as or is considered as an impact on A19 Right to Rectification Notification,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A20,class,https://w3id.org/dpv/legal/eu/gdpr#A20,A20 Right to Data Portability,Right to data portability,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A20-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A20-Impact,Impact on A20 Right to Data Portability,Something that acts as or is considered as an impact on A20 Right to Data Portability,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A21,class,https://w3id.org/dpv/legal/eu/gdpr#A21,A21 Right to object,Right to object to processing of personal data,https://w3id.org/dpv#Right,,https://w3id.org/dpv#DataSubjectRight,,2020-11-04,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
A21-Impact,class,https://w3id.org/dpv/legal/eu/gdpr#A21-Impact,Impact on A21 Right to object,Something that acts as or is considered as an impact on A21 Right to object,https://w3id.org/dpv/risk#PotentialRisk;https://w3id.org/dpv/risk#PotentialConsequence;https://w3id.org/dpv/risk#PotentialImpact;https://w3id.org/dpv/risk#RiskConcept,,https://w3id.org/dpv/legal/eu/gdpr#GDPRRightsImpact,,2024-10-21,,eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr
